Timestamp,Username,IP Address,Service Name,Operation,Resource,Allowed,Impersonator,Family,Qualifier,Delegation Token ID,Destination,Permissions,Source,Usage Type,Operation Text,url,Privilege,Query ID,Session ID,Status,Database Name,Object Type,Resource Path,Table Name
2019-11-21T22:18:03.889Z,user_fyf,10.67.59.24,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00582,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00582,,,,,,,,,,,
2019-11-21T22:18:03.881Z,user_fyf,10.67.59.16,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00113,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00113,,,,,,,,,,,
2019-11-21T22:18:03.869Z,user_fyf,10.67.59.17,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00172,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00172,,,,,,,,,,,
2019-11-21T22:18:03.862Z,user_fyf,10.67.59.16,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00825,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00825,,,,,,,,,,,
2019-11-21T22:18:03.860Z,user_fyf,10.67.59.17,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00172,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00172,,,,,,,,,,,
2019-11-21T22:18:03.851Z,user_fyf,10.67.59.24,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-01008,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-01008,,,,,,,,,,,
2019-11-21T22:18:03.848Z,user_fyf,10.67.59.24,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00575,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00575,,,,,,,,,,,
2019-11-21T22:18:03.844Z,user_fyf,10.67.59.24,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-01008,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-01008,,,,,,,,,,,
2019-11-21T22:18:03.843Z,user_fyf,10.67.59.15,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00329,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00329,,,,,,,,,,,
2019-11-21T22:18:03.840Z,user_fyf,10.67.59.16,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00825,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00825,,,,,,,,,,,
